	Top	Gene	logFC.vs.2	logFC.vs.3	logFC.vs.4	logFC.vs.5	logFC.vs.6	logFC.vs.7	logFC.vs.1	FDR.vs.2	FDR.vs.3	FDR.vs.4	FDR.vs.5	FDR.vs.6	FDR.vs.7	FDR.vs.1
11008	202	CYB561	0.162686688826973	0.28986757649174	1.1056555682814	1.32688146999906	1.20563478393612	-1.20563478393612	0.548420454645997	0.528571232013757	0.251883526006142	4.97032284095899e-07	1.2094049306353e-06	7.02466578052797e-06	7.02466578052797e-06	0.0114965932682215
739	203	SEC22B	-0.823671540323743	-0.894321790611174	-1.42838318070004	-1.1697345825551	-1.05609790437294	1.05609790437294	0.343867772871072	3.94187579600772e-05	7.1525010661773e-06	4.25165532543078e-14	2.32430961798659e-07	7.14078722972057e-06	7.14078722972057e-06	0.133498836673718
5865	203	PDLIM2	-0.211894925001305	-0.997274690595148	-2.32143908070943	-2.02033103623056	-0.876428898168748	0.876428898168748	-0.426481893716027	0.446890639889828	1.29590509462952e-05	6.99940810396223e-32	3.06766055453079e-17	0.00300404272691286	0.00300404272691286	0.0877354482223579
12036	203	CALR	-1.22102998309727	-0.163426321486048	-0.725471886352217	-1.01548826215455	-0.120499436744373	0.120499436744373	-0.479682282801008	5.08796636430057e-26	0.262680832557953	4.19300767082326e-09	3.75413903949361e-14	0.700430781451738	0.700430781451738	8.58945007021975e-05
4966	204	CHCHD2	-0.98201439988991	0.512661244610071	-0.478647877418738	-0.225253153832865	0.104061531727595	-0.104061531727595	-0.139153145582924	1.16340697154608e-25	9.74292189141776e-07	2.37279082947305e-06	0.101759254566677	0.668963878947563	0.668963878947563	0.211990254754058
7433	205	LAYN	-0.847108184143963	-0.275314440232319	-1.24293521554106	-1.00851579036161	-1.24563417719541	1.24563417719541	-0.464416661081682	0.000220621317966407	0.173289896421062	2.25929491793472e-07	0.000212898026969398	7.68823071272051e-06	7.68823071272051e-06	0.0291911537332907
4594	206	GOPC	1.54684391983464	1.87530617087314	0.95442313388634	1.61779988198141	0.156834343272175	-0.156834343272175	1.22889989114887	1.50201763581251e-25	9.02833396363472e-33	2.09962820697463e-10	3.78675734010099e-17	0.641929060098586	0.641929060098586	2.44262492449557e-18
9736	206	MORF4L1	-0.233060412669268	-1.56595565745055	-0.685090753007428	-0.75456565653212	-0.286174455973182	0.286174455973182	-0.0332688344536382	0.161122215430637	6.76960508606345e-33	2.36862621214113e-06	6.32213226943732e-06	0.306672519932559	0.306672519932559	0.865179945734152
417	207	ARTN	1.07765070337235	1.1687057206955	1.12702331267325	1.09436329046886	1.09471589816284	-1.09471589816284	1.14158984624644	1.14266803333122e-08	5.17021782178246e-11	5.14240924069028e-09	4.11441244354e-05	8.34962770947327e-06	8.34962770947327e-06	1.84699313164264e-11
5395	207	CD99	1.82211005653896	-0.914333149588361	-1.10582476909826	-0.774128881703747	-0.202908845808352	0.202908845808352	1.77524540440355	1.68463818402961e-25	5.83697408323175e-10	3.33466765968563e-14	1.47357460192827e-05	0.556920439415779	0.556920439415779	6.48890286164863e-26
5936	207	FGFR1	0.196742372055353	-0.369708458684723	-1.75205704443236	-2.09600388096958	-0.652678643548553	0.652678643548553	0.0648987851046815	0.480864301135144	0.165474804317584	2.47087054630025e-15	1.58478705757532e-18	0.0689835194548184	0.0689835194548184	0.828863680844091
2404	208	CDCP1	0.666247034882112	1.76757086091319	-0.301830915377211	-0.449748100310419	1.00094539939834	-1.00094539939834	2.07877837257357	0.000122463651075908	2.67396461861985e-21	0.140221988792373	0.0268600196117726	8.34962770947327e-06	8.34962770947327e-06	1.76456710869868e-32
5996	208	ASPH	1.34374114307323	0.932180332705342	-0.20678152416363	0.00127830285951276	-0.139514052571653	0.139514052571653	1.47706534912633	1.84846735743911e-25	5.60540227863909e-13	0.143539036674389	1	0.627471250005205	0.627471250005205	1.00820281668993e-31
8131	208	C1R	-0.251289744043821	-2.76509335850696	-1.43177396656112	-1.56069546724076	-0.149065833435205	0.149065833435205	-0.0927906040788825	0.174966341189061	9.55568327318602e-33	1.13769952419187e-09	5.46332230100386e-09	0.642778467819649	0.642778467819649	0.558945260342894
7826	209	FAM213A	-0.189045950425387	-0.0999351205474205	2.09286670428692	2.14300905057566	1.0370242019538	-1.0370242019538	0.113439189230767	0.359165993698122	0.738059765537812	4.91781708237985e-26	1.4143610648317e-17	8.55516531632963e-06	8.55516531632963e-06	0.571883132870271
10171	209	IRX3	1.98040631958989	1.14307443965063	2.04115779622156	2.27834783308551	0.150813203523171	-0.150813203523171	1.71811949225869	8.32361643926632e-25	1.03874793658171e-08	2.85269782554243e-23	1.75436486971167e-18	0.774159308728603	0.774159308728603	6.7373388546383e-20
227	210	STMN1	1.24269787873199	1.10992357300001	1.79236475748163	0.383649325166881	0.124609692433553	-0.124609692433553	0.818581002168717	1.36208614527648e-18	1.22568111560095e-14	5.96652055273809e-31	0.0423778987904383	0.722230673724126	0.722230673724126	1.42982600809253e-09
5441	210	SH3KBP1	0.503551775105246	0.484643952370584	-1.10242477670978	-0.642545126661588	1.03375004090966	-1.03375004090966	1.50248089657718	0.00731501618425764	0.0106033947679078	6.35384790062151e-12	0.00202930004946561	8.99871592463825e-06	8.99871592463825e-06	1.99275596530027e-17
9746	210	MESD	-0.282709106450232	-2.00206902975349	-1.21130068194975	-1.28248410495836	-0.0604993182322605	0.0604993182322605	-0.0381246281326996	0.219378624520733	9.79260087416117e-33	2.87673648468679e-11	5.17866051333601e-10	0.955926763474233	0.955926763474233	0.91062247406074
7510	211	CLMP	0.0252516670104474	-0.919927053551577	-2.0622571328539	-2.05766521709454	-0.265919322820157	0.265919322820157	-0.456489144036681	0.959612866543796	8.63460139276773e-05	1.06499682616692e-23	2.17038875760157e-18	0.627471250005205	0.627471250005205	0.0647674442425543
7672	211	CCNY	1.55492700823243	1.09545494841183	1.35767526181336	1.37157613253375	0.858851033930972	-0.858851033930972	1.46725909687371	1.28273592682781e-23	2.2664584166516e-12	3.88586087199094e-17	4.57602208488857e-12	9.45267594230802e-06	9.45267594230802e-06	1.04933329394024e-22
4337	212	RPL10A	-0.719729138048899	0.724836424833312	-0.63956757300219	-0.509523455918654	0.081239911869813	-0.081239911869813	-0.943375123815909	1.71805231960836e-20	2.38337748118703e-18	1.30645106304732e-15	3.41521928190523e-08	0.694532218846172	0.694532218846172	7.96474472462625e-36
4424	212	ADGRF1	0.655777991757454	1.50874156456011	1.50874156456011	1.41943788096374	1.23284781116548	-1.23284781116548	1.35799377049238	0.00696655010056721	1.35931210060139e-15	6.233228870981e-15	1.39392041706153e-07	9.93293037867794e-06	9.93293037867794e-06	1.8826861209769e-12
7683	212	HNRNPF	1.48247138160716	0.869684911824381	1.51598297845453	1.09433607136082	0.666094922702546	-0.666094922702546	1.50687137681638	3.33967759646307e-25	9.51249380089155e-10	7.86367193306543e-24	6.69834186526271e-10	0.000280917660221106	0.000280917660221106	1.72513104399039e-27
6503	213	MFSD14B	1.68352913454854	1.28278402425947	1.62674844694974	1.74841209797601	0.290373498439302	-0.290373498439302	2.0234792317956	7.20923601789103e-25	4.98868228500771e-15	1.5164524436768e-21	8.63081727227496e-16	0.347837419425017	0.347837419425017	8.03656855863951e-36
7129	213	PLA2G16	0.782095271190525	0.195393363346385	1.50836685080749	2.10840635051508	-0.636680112756064	0.636680112756064	1.44058381148917	7.64700323167626e-06	0.354088657090797	8.34617048629793e-16	4.8822068702891e-18	0.00145661496129886	0.00145661496129886	3.75342560855807e-17
9244	213	AC004816.1	-2.21208057694401	0.485846445884448	0.178119542204869	0.00432097511066088	0.398214132816827	-0.398214132816827	-0.644804020541755	4.67954693457713e-25	0.0106296085257698	0.493564334428845	1	0.271668625918107	0.271668625918107	0.00743256714355292
